Inventarnummer,Bezeichnung,Hersteller,Typ,Serialnummer,Kaufdatum,Kaufpreis,Link,Standort,MAC
2025-02-18-001,Wi-Fi Access Point,tp-link,EAP610-Outdoor,2238063001578,27.11.2023,"152,32 €",,,
2025-02-18-002,48.0V70.5A PoE Injektor,tp-link,TL-POE4824G,,27.11.2023,,,,
2025-02-18-003,Wi-Fi Access Point,tp-link,EAP610-Outdoor,2238063001642,27.11.2023,"152,32 €",,,
2025-02-18-004,48.0V70.5A PoE Injektor,tp-link,TL-POE4824G,,27.11.2023,,,,
2025-02-18-005,Wi-Fi Access Point,tp-link,EAP610-Outdoor,2238063000467,27.11.2023,"152,32 €",,,
2025-02-18-006,48.0V70.5A PoE Injektor,tp-link,TL-POE4824G,,27.11.2023,,,,
2025-02-18-007,Wi-Fi Access Point,tp-link,EAP610-Outdoor,2238063000275,27.11.2023,"152,32 €",,,
2025-02-18-008,48.0V70.5A PoE Injektor,tp-link,TL-POE4824G,,27.11.2023,,,,
2025-02-18-009,5G Router,ZTE,MC801A HyperBox,865560050412086,22.12.2023,"260,61 €",,,
2025-02-18-010,12.0V/1.5A Netzteil,ZTE,,,22.12.2023,,,,
2025-02-18-011,Freifunkknoten,AVM,FRITZ!Box 4040,R202.612.60.016.160,22.12.2023,"87,00 €",,,
2025-02-18-012,12.0V/1.5A Netzteil,Ktec,KSA0181200150HE,,22.12.2023,,,,
2025-02-18-013,Freifunkknoten,AVM,FRITZ!Box 4040,K213.608.00.121.029,,,,,
2025-02-18-014,12.0V/1.5A Netzteil,Ktec,KSA0181200150HE,,,,,,
2025-02-18-015,Freifunkknoten,ZyXEL,AX1800,S231805006183,27.11.2023,"89,25 €",,,
2025-02-18-016,12.0V/1.5A Netzteil,DEE VAN ENTERPRISE,DSA-18PFCA-12,4750-00610010-50U,,,,,
2025-02-18-019,8-Port Switch / 4-Port PoE,tp-link,TL-SG2008P,2238590001553,27.11.2023,"84,99 €",,,
2025-02-18-020,53.5V/1.31A Netzteil,tp-link,T535131-2DT,,,,,,
2025-02-18-021,8-Port Switch / 4-Port PoE,tp-link,TL-SG108PE,2211237000262,,,,,
2025-02-18-022,53.5V/1.31A Netzteil,tp-link,T535131-2DT,,,,,,
2025-02-18-023,30m Cat.6 Kabel,,,,27.11.2023,"23,80 €",,,
2025-02-18-024,30m Cat.6 Kabel,,,,27.11.2023,"23,80 €",,,
2025-02-18-025,30m Cat.6 Kabel,,,,27.11.2023,"23,80 €",,,
2025-02-18-026,30m Cat.6 Kabel,,,,27.11.2023,"23,80 €",,,
2025-02-18-027,IP Camera,reolink,RLC-830A,WJBC528A000940,22.12.2023,"127,99 €",,,
2025-02-18-028,25m Verlängerungskabel,Brennenstuhl,,,22.12.2023,"41,33 €",,,
2025-02-18-029,50m Kabeltrommel,Brennenstuhl,,,22.12.2023,"119,72 €",,,
2025-02-18-030,3-fach Steckdosenleiste,Hama,,,22.12.2023,"4,99 €",,,
2025-02-18-032,Brother PT-P710BT,,,,29.12.2023,"92,29 €",,,
,Sackkarre,,,,30.12.2023,"94,99 €",,,
,Mast,,,,22.12.2023,"289,00 €",,,
,Verteilerschrank,,,,22.12.2023,"62,89 €",,,
